20,18,30
28,62,23
6,36,66
2,11,101
26,13,21
26,23,25
9,17,32
7,12,96
5,9,100
17,18,26
0,3,106
12,11,30
14,17,34
15,26,48
5,8,96
7,13,24
16,18,22
22,16,68
13,21,41
17,32,47
5,11,102
26,16,25
11,24,53
7,14,76
4,6,30
5,5,71
7,12,32
7,9,151
17,15,21
16,32,37
25,29,41
47,12,9
22,35,35
8,14,85
6,14,133
8,9,89
3,13,104
5,10,95
5,11,98
7,12,44
12,38,53
4,14,67
22,17,31
21,10,22
33,0,36
4,9,98
21,11,19
5,14,26
9,5,90
3,10,99
15,27,37
15,11,80
5,11,94
27,15,32
5,12,101
9,16,22
15,22,55
5,28,78
16,16,37
22,23,26
7,12,84
9,4,107
17,16,29
27,30,38
13,46,62
8,10,22
7,9,89
7,15,85
6,12,105
0,20,92
9,12,82
0,8,107
12,16,10
20,22,32
9,14,115
6,14,53
6,0,4
9,10,82
5,15,99
6,59,23
6,15,88
5,10,102
18,11,17
5,8,107
8,24,46
6,8,40
7,3,112
15,18,34
16,28,44
23,58,15
5,14,94
7,13,34
6,11,98
3,5,94
7,14,43
12,15,81
15,23,39
29,30,33
6,7,101
10,20,23
20,16,37
28,36,27
16,69,22
15,22,38
12,35,55
11,20,71
7,14,89
9,15,36
12,21,70
15,19,42
2,10,116
18,16,31
19,20,30
12,40,54
8,17,86
1,7,90
6,9,98
4,12,74
12,18,22
5,9,105
2,6,106
14,9,47
4,11,25
9,17,78
5,8,103
9,10,84
3,6,105
15,14,83
5,9,102
7,12,87
16,26,47
8,10,75
6,13,89
11,15,83
8,19,78
43,10,13
18,14,19
14,10,5
68,12,11
17,15,23
35,14,12
10,8,21
5,6,11
9,18,40
13,17,61
62,14,16
4,12,63
13,10,11
16,4,41
3,12,64
10,10,35
3,5,69
